85704	70
30615	48
30829	45
79987	36
31552	36
31875	35
48361	24
83804	23
57096	23
79048	21
84803	20
60182	20
86929	19
34584	18
81557	17
73079	17
59234	17
45915	17
34582	17
80029	16
73951	16
89530	15
89502	15
86364	15
86318	15
73871	15
57708	15
57705	15
57704	15
52166	15
35747	15
92611	14
90415	14
89525	14
89519	14
86448	14
79973	14
79831	14
74056	14
51456	13
91205	12
90340	12
90292	12
89588	12
89577	12
89554	12
86832	12
79988	12
79926	12
74788	12
90402	11
89598	11
89572	11
57111	11
86357	10
79090	10
73866	10
73107	10
91333	9
90302	9
83730	9
83707	9
83686	9
80052	9
73897	9
45017	9
91927	8
90436	8
90318	8
89582	8
83713	8
79932	8
79836	8
79123	8
79041	8
78470	8
78468	8
73105	8
48297	8
90434	7
90367	7
89597	7
89583	7
89559	7
89386	7
86426	7
85457	7
80037	7
78999	7
57711	7
48300	7
48295	7
48292	7
45916	7
45018	7
23784	7
90427	6
90395	6
90345	6
89603	6
79905	6
79137	6
79104	6
79103	6
74940	6
73191	6
48299	6
48298	6
48296	6
45214	6
43347	6
24383	6
91926	5
91925	5
90401	5
90350	5
90335	5
90330	5
90312	5
84914	5
83771	5
80773	5
80071	5
80065	5
73236	5
59233	5
45925	5
32228	5
91924	4
91177	4
91131	4
91126	4
90375	4
90313	4
89321	4
85579	4
80038	4
80020	4
80018	4
73128	4
52130	4
45021	4
91942	3
91280	3
91223	3
90416	3
90366	3
89062	3
84945	3
84939	3
84920	3
79162	3
74055	3
73226	3
69171	3
63705	3
63703	3
63702	3
63699	3
59204	3
57660	3
57207	3
57176	3
27830	3
27829	3
