80029	16
73951	16
89530	15
89502	15
86364	15
86318	15
73871	15
57708	15
57705	15
57704	15
52166	15
35747	15
92611	14
90415	14
89525	14
89519	14
86448	14
79973	14
79831	14
74056	14
51456	13
91205	12
90340	12
90292	12
89588	12
89577	12
89554	12
86832	12
79988	12
79926	12
74788	12
90402	11
89598	11
89572	11
57111	11
86357	10
79090	10
73866	10
73107	10
91333	9
90302	9
83730	9
83707	9
83686	9
80052	9
73897	9
45017	9
91927	8
90436	8
90318	8
89582	8
83713	8
79932	8
79836	8
79123	8
79041	8
78470	8
78468	8
73105	8
48297	8
90434	7
90367	7
89597	7
89583	7
89559	7
89386	7
86426	7
85457	7
80037	7
78999	7
57711	7
48300	7
48295	7
48292	7
45916	7
45018	7
23784	7
90427	6
90395	6
90345	6
89603	6
79905	6
79137	6
79104	6
79103	6
74940	6
73191	6
48299	6
48298	6
48296	6
45214	6
43347	6
24383	6
91926	5
91925	5
90401	5
90350	5
90335	5
90330	5
90312	5
84914	5
83771	5
80773	5
80071	5
80065	5
73236	5
59233	5
45925	5
32228	5
91924	4
91177	4
91131	4
91126	4
90375	4
90313	4
89321	4
85579	4
80038	4
80020	4
80018	4
73128	4
52130	4
45021	4
91942	3
91280	3
91223	3
90416	3
90366	3
89062	3
84945	3
84939	3
84920	3
79162	3
74055	3
73226	3
69171	3
63705	3
63703	3
63702	3
63699	3
59204	3
57660	3
57207	3
57176	3
27830	3
27829	3
91232	2
90400	2
90272	2
90270	2
80854	2
80825	2
79192	2
68543	2
63701	2
60491	2
59203	2
57682	2
57681	2
57679	2
57678	2
57675	2
57674	2
57673	2
57672	2
57671	2
57670	2
57669	2
57668	2
57667	2
57664	2
57663	2
57662	2
57661	2
57659	2
57658	2
57655	2
57650	2
57649	2
57648	2
57647	2
57646	2
57643	2
57642	2
57641	2
57640	2
57639	2
57637	2
57227	2
57226	2
57225	2
57222	2
57210	2
57209	2
57208	2
57206	2
57187	2
57186	2
57185	2
57184	2
57183	2
57182	2
57181	2
57178	2
57177	2
57175	2
57174	2
57173	2
57172	2
57169	2
57164	2
57163	2
57162	2
57161	2
57160	2
57159	2
57156	2
57155	2
57154	2
57141	2
57120	2
46724	2
43352	2
36307	2
36173	2
33506	2
33228	2
32756	2
32225	2
32224	2
25815	2
18576	2
17725	2
